Component,Core Cycles,System Cycles,Kernel Cycles,User Cycles,Kernel Entries,Schedules,Core CPU Util,Core Kernel CPU Util,Core User CPU Util
serial_virt_tx,27420261020,13394,5096,8298,2,2,0.0,0.0,0.0
ethernet_driver,27420261020,5489277542,1399825089,4089452453,1775440,1496812,20.02,5.11,14.91
net_virt_tx,27420261020,2829795118,1584294426,1245500692,1505087,1505087,10.32,5.78,4.54
net_virt_rx,27420261020,1300086324,192815579,1107270745,168603,112874,4.74,0.7,4.04
client0,27420261020,7975653049,75362975,7900290074,57330,57219,29.09,0.27,28.81
client0_net_copier,27420261020,3290074482,109036809,3181037673,111596,55870,12.0,0.4,11.6
client1,27420261020,4006322,1518177,2488145,1178,1161,0.01,0.01,0.01
client1_net_copier,27420261020,31378,12053,19325,6,3,0.0,0.0,0.0
timer_driver,27420261020,11380160,4480325,6899835,2901,2378,0.04,0.02,0.03

Instructions,Data memory access,L1 d-cache misses
240335099891,139865514965,38835599,
127132997144,73807327085,41120041,
89182409981,51644827860,43430605,
69853967017,40343310171,47727714,
58625693351,33770442451,48372257,
44443459981,25469469734,41812335,
33955145019,19330130876,31259168,
31437231648,17844680851,30577652,
29355350891,16610911065,30546931,
27650631989,15597262012,30699529,
20304989811,11104395010,34084501,
17787102395,9421511704,38948465,
16494065959,8453994929,44372381,
15645392315,7743961074,50161003,
15095228960,7208500829,55927615,
14725900399,6776826632,61827298,
14341601084,6337144409,67662548,
14061670835,5958730214,74046330,
13831720795,5699840494,77466750,
