Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles,CPU_Util
20000000,20000251,20000251,1472,430,673,16360,360.03,675,0,88469805288,165812023766,0.4664
50000000,50000069,50000069,1472,416,715,19437,499.02,697,0,14212730235,81016078597,0.8246
100000000,99999239,99999739,1472,493,878,25251,686.75,821,0,397019605,52636824200,0.9925
150000000,149871548,149999687,1472,951,2159,37819,1725.40,2022,0,503708003,43363344388,0.9884
200000000,157264800,199998818,1472,7570,31805,67714,15532.03,28121,0,393147438,42410213560,0.9907
