Requested_Throughput,Send_Throughput,Receive_Throughput,Total_Cycles,Packets_Sent,Packets_Received,Bytes_Sent,Bytes_Received,Cycles_Per_Packet,Active_Cycles_Per_Packet
20000000,20000251,20000251,165812023766,200000,200000,294400000,294400000,829060.1,386711.1
50000000,50000069,50000069,81016078597,200000,200000,294400000,294400000,405080.4,334016.7
100000000,99999739,99999239,52636824200,200000,199999,294400000,294398528,263185.4,261200.3
150000000,149999687,149871548,43363344388,200000,199829,294400000,294148288,217002.3,214481.6
200000000,199998818,157264800,42410213560,200000,157266,294400000,231495552,269671.9,267172.0
