Component,Core Cycles,System Cycles,Kernel Cycles,User Cycles,Kernel Entries,Schedules,Core CPU Util,Core Kernel CPU Util,Core User CPU Util,Linux User %,Linux Kernel %,Linux Idle %,Linux Samples
System Total 20.0Mb/s,165811968639,76756610796,20892406172,55864204624,13501283,7810610,46.29,12.6,33.69,6.2,13.1,71.0,13
System Total 50.0Mb/s,81016085044,66530550598,16892158664,49638391934,10731907,6121353,82.12,20.85,61.27,11.7,24.0,46.0,7
System Total 100.0Mb/s,52636858006,52222870813,11102172273,41120698540,6806415,3904034,99.21,21.09,78.12,16.65,31.9,28.3,4
System Total 150.0Mb/s,43363367721,42859248916,6563955454,36295293462,3942676,2278193,98.84,15.14,83.7,20.55,33.05,25.0,4
System Total 200.0Mb/s,42410224849,42016551535,6147895355,35868656180,3719024,2185724,99.07,14.5,84.58,18.2,31.6,25.75,4

TEST 1: 20.0Mb/s
serial_driver,42410224849,175442,55784,119658,25,25,0.0,0.0,0.0
serial_virt_tx,42410224849,170660,91150,79510,51,50,0.0,0.0,0.0
serial_virt_rx,42410224849,0,0,0,0,0,0.0,0.0,0.0
net_driver_vm,42410224849,5473307736,3989571269,1483736467,2532026,1076486,12.91,9.41,3.5
net_virt_tx,42410224849,782328818,22498049,759830769,7771,7771,1.84,0.05,1.79
net_virt_rx,42410224849,1629843634,327560358,1302283276,223522,149879,3.84,0.77,3.07
client0,42410224849,2423211059,110371030,2312840029,49811,49635,5.71,0.26,5.45
client0_net_copier,42410224849,1125906893,107966274,1017940619,74667,73858,2.65,0.25,2.4
client1,42410224849,8126218,2171841,5954377,1567,1550,0.02,0.01,0.01
client1_net_copier,42410224849,3984858,1332956,2651902,773,517,0.01,0.0,0.01
timer_driver,42410224849,471357236,123914739,347442497,140855,137999,1.11,0.29,0.82
linux,42410224849,30098138981,1462361905,28635777076,687547,687544,70.97,3.45,67.52

CPU cycles,L1 i-cache misses,Branch mispredictions
141814807518,976967354,552818491,
61767903313,816125292,477375940,
40103994897,582683709,349943702,
35946218643,417912402,229363822,
35466763814,396642115,204695262,
