Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles,CPU_Util
20000000,20000198,20000198,1472,616,992,1617,85.65,1028,0,63380774775,165808074791,0.6177
50000000,49585174,50000507,1472,8693,17057,24402,3203.84,16966,0,529795889,81734751725,0.9935
100000000,7355811,100000040,1472,11977,201686,999539,103438.83,218774,0,478871798,416160466730,0.9988
