Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles,CPU_Util
20000000,20000265,20000265,1472,396,634,949,56.85,635,0,110048334477,165594265674,0.3354
50000000,50000086,50000086,1472,440,615,1309,66.61,633,0,15187216121,81020800564,0.8126
100000000,99999912,99999912,1472,485,881,2308,177.08,867,0,373752667,52637137899,0.9929
150000000,150001363,149999863,1472,790,1466,3399,299.98,1443,0,506822332,43349512044,0.9883
200000000,183491093,199998455,1472,3675,9327,22752,3038.45,8933,0,488749556,39916633454,0.9878
