Component,Core Cycles,System Cycles,Kernel Cycles,User Cycles,Kernel Entries,Schedules,Core CPU Util,Core Kernel CPU Util,Core User CPU Util,Linux User %,Linux Kernel %,Linux Idle %,Linux Samples
client1,140019739488,26708231,6581175,20127056,6153,6135,0.02,0.0,0.01
client1_net_copier,140019739488,8566113,2805924,5760189,2513,1515,0.01,0.0,0.0
timer_driver,140019739488,1222403940,317965997,904437943,377498,371339,0.87,0.23,0.65
linux,140019739488,95411762184,3986222907,91425539277,1906327,1906315,68.14,2.85,65.29

TEST 4: 13.0Mb/s
CORE 0 TOTAL,131002100975,126623073237,19579922640,107043150597,12333731,7129210,96.66,14.95,81.71
serial_driver,131002100975,444515,133324,311191,67,67,0.0,0.0,0.0
serial_virt_tx,131002100975,432620,239698,192922,136,135,0.0,0.0,0.0
serial_virt_rx,131002100975,0,0,0,0,0,0.0,0.0,0.0
net_driver_vm,131002100975,17203402854,12551238776,4652164078,8247391,3391808,13.13,9.58,3.55
net_virt_tx,131002100975,1830295788,717334634,1112961154,324714,324714,1.4,0.55,0.85
net_virt_rx,131002100975,1864730884,698482924,1166247960,551029,367856,1.42,0.53,0.89
client0,131002100975,2195998942,340977668,1855021274,171633,170832,1.68,0.26,1.42
client0_net_copier,131002100975,1109475868,293953140,815522728,343519,183136,0.85,0.22,0.62
client1,131002100975,16897209,4692624,12204585,4893,4893,0.01,0.0,0.01
client1_net_copier,131002100975,300595,98998,201597,88,44,0.0,0.0,0.0
timer_driver,131002100975,1393343194,358886744,1034456450,427026,422500,1.06,0.27,0.79
linux,131002100975,101007750768,4613884110,96393866658,2206793,2206782,77.1,3.52,73.58

TEST 5: 14.0Mb/s
CORE 0 TOTAL,123288905704,119319795772,16875089766,102444706006,10537245,6095757,96.78,13.69,83.09
serial_driver,123288905704,453929,142901,311028,69,68,0.0,0.0,0.0
serial_virt_tx,123288905704,436555,242086,194469,135,134,0.0,0.0,0.0
serial_virt_rx,123288905704,0,0,0,0,0,0.0,0.0,0.0
net_driver_vm,123288905704,14779771777,10780356810,3999414967,7023924,2886968,11.99,8.74,3.24
net_virt_tx,123288905704,1599575350,591062081,1008513269,266383,266383,1.3,0.48,0.82
